8121	113	18127
4733	113	14866
4733	114	12787
3460	113	13594
1848	113	18127
10789	113	23685
10789	114	16639
10789	43	15785
10789	128	17522
2540	113	18127
5803	128	16000
5803	61	13501
5803	113	13501
922	113	9507
7616	113	13594
8284	46	15138
8284	85	17028
8284	113	20672
8284	47	21499
8284	120	23263
8284	144	13685
8284	95	16485
8284	31	23549
8284	118	23243
8284	90	14408
8284	69	12201
9161	113	14866
9161	114	20414
3075	113	20672
3075	144	14345
3075	47	3894
3075	31	22915
3144	113	23685
3144	114	23480
9205	113	20672
9205	47	11102
9205	144	13251
9205	31	22299
11089	113	20672
11089	47	17676
11089	144	15246
11089	31	15862
5174	113	20848
5174	128	21867
11394	113	20672
11394	47	17068
11394	31	14639
11394	144	18851
11394	118	23316
6489	113	20672
6489	47	20816
6489	144	13555
6489	31	23783
6523	113	20672
6523	47	16446
6523	144	14678
3685	113	20848
3685	128	12852
7333	113	14866
7333	114	22645
5372	113	20848
5372	128	22060
2980	113	20672
2980	144	15192
2980	47	12708
2980	31	16144
2980	46	23600
281	113	13443
281	128	13788
6697	113	20848
6697	128	21513
6146	113	19828
6146	114	13858
6146	137	18160
3900	113	17745
3900	114	22655
3900	43	15017
9506	113	9445
9506	114	21088
9506	128	16663
7030	113	20672
7030	47	22150
7030	144	18749
7030	118	8967
7030	31	23419
6392	113	20475
6392	128	21352
224	113	20672
224	47	1449
224	144	14785
224	31	13744
224	90	21374
5287	113	11583
5287	137	16266
315	113	20672
315	47	19102
315	144	23322
315	31	16359
10158	113	20672
10158	47	15298
10158	144	12307
10158	31	13640
3880	113	13594
2780	113	20848
2780	128	14816
7003	113	20848
7003	128	14816
4545	47	7564
4545	113	20672
4545	144	20459
4545	31	23131
4545	118	20603
4545	128	23330
5336	113	13594
6292	113	15684
6292	114	18273
6292	43	23562
7801	47	18867
7801	120	16103
7801	113	20672
7801	31	22424
7801	144	17375
7801	95	18357
569	113	20848
569	128	15760
8769	47	22765
8769	113	20672
8769	144	17096
8769	31	19543
8769	90	23848
5850	113	13594
5359	113	18127
2311	113	20848
2311	128	15456
920	113	21819
7743	113	13443
7743	128	15082
7743	61	13181
9	113	806
9	43	18367
9	38	23243
9	114	19064
9	53	18812
9	128	16880
5477	113	20848
5477	128	16354
2971	113	20848
2971	128	12877
3795	113	20672
3795	47	14331
3795	144	23836
10907	47	4711
10907	120	19131
10907	113	20672
10907	144	14071
10907	95	22916
10907	31	14827
10907	90	12844
10907	46	12989
10907	85	18034
